COUNTY,YEARS,STRATA,AGE GROUP,CURRENT PREVALENCE,95% CONFIDENCE INTERVAL,COUNTIES GROUPED,COMMENT
Imperial,2017–2018,Age groups,65+ years,20.9,(1.9–39.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Inyo,2017–2018,Age groups,65+ years,14,(5.9–22.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Kern,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
Kings,2017–2018,Age groups,65+ years,6.8,(0.9–12.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Lake,2017–2018,Age groups,65+ years,14.6,(2.6–26.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Lassen,2017–2018,Age groups,65+ years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Los Angeles,2017–2018,Age groups,65+ years,8.8,(6.1–11.5),,
Madera,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
Marin,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
Mariposa,2017–2018,Age groups,65+ years,14,(5.9–22.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Mendocino,2017–2018,Age groups,65+ years,8.7,(0.9–16.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Merced,2017–2018,Age groups,65+ years,22.4,(1.1–43.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Modoc,2017–2018,Age groups,65+ years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Mono,2017–2018,Age groups,65+ years,14,(5.9–22.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Monterey,2017–2018,Age groups,65+ years,6.7,(0.4–13.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Napa,2017–2018,Age groups,65+ years,15,(3.0–27.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Nevada,2017–2018,Age groups,65+ years,6.2,(0.0–12.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Orange,2017–2018,Age groups,65+ years,6,(2.5–9.5),,
Placer,2017–2018,Age groups,65+ years,7.3,(0.9–13.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Plumas,2017–2018,Age groups,65+ years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Riverside,2017–2018,Age groups,65+ years,9.3,(2.6–16.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sacramento,2017–2018,Age groups,65+ years,13.2,(5.3–21.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Benito,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
San Bernardino,2017–2018,Age groups,65+ years,10,(3.6–16.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Diego,2017–2018,Age groups,65+ years,7.1,(1.3–12.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Francisco,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
San Joaquin,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
San Luis Obispo,2017–2018,Age groups,65+ years,8.2,(1.1–15.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Mateo,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
Santa Barbara,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
Santa Clara,2017–2018,Age groups,65+ years,9,(3.3–14.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Cruz,2017–2018,Age groups,65+ years,10.9,(2.2–19.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Shasta,2017–2018,Age groups,65+ years,6.3,(1.8–10.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sierra,2017–2018,Age groups,65+ years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Siskiyou,2017–2018,Age groups,65+ years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Solano,2017–2018,Age groups,65+ years,11.2,(1.9–20.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sonoma,2017–2018,Age groups,65+ years,14,(3.7–24.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Stanislaus,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
Sutter,2017–2018,Age groups,65+ years,22.5,(7.8–37.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tehama,2017–2018,Age groups,65+ years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Trinity,2017–2018,Age groups,65+ years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Tulare,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
Tuolumne,2017–2018,Age groups,65+ years,14,(5.9–22.2),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Ventura,2017–2018,Age groups,65+ years,11.9,(3.3–20.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Yolo,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
Yuba,2017–2018,Age groups,65+ years,14.3,(0.2–28.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
California,2019–2020,Total population,All ages,8.7,(8.3–9.1),,
Alameda,2019–2020,Total population,All ages,7.5,(5.7–9.3),,
Alpine,2019–2020,Total population,All ages,6.9,(4.1–9.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Amador,2019–2020,Total population,All ages,6.9,(4.1–9.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Butte,2019–2020,Total population,All ages,13.3,(9.1–17.6),,
Calaveras,2019–2020,Total population,All ages,6.9,(4.1–9.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Colusa,2019–2020,Total population,All ages,11.5,(7.8–15.2),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Contra Costa,2019–2020,Total population,All ages,8.7,(5.9–11.5),,
Del Norte,2019–2020,Total population,All ages,8,(5.5–10.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
El Dorado,2019–2020,Total population,All ages,8.8,(5.6–11.9),,
Fresno,2019–2020,Total population,All ages,12.8,(9.7–15.9),,
Glenn,2019–2020,Total population,All ages,11.5,(7.8–15.2),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Humboldt,2019–2020,Total population,All ages,10.3,(7.3–13.3),,
Imperial,2019–2020,Total population,All ages,10.6,(7.3–14.0),,
Inyo,2019–2020,Total population,All ages,6.9,(4.1–9.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Kern,2019–2020,Total population,All ages,9,(6.9–11.1),,
Kings,2019–2020,Total population,All ages,12.8,(8.8–16.7),,
Lake,2019–2020,Total population,All ages,11.7,(7.4–16.0),,
Lassen,2019–2020,Total population,All ages,8,(5.5–10.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Los Angeles,2019–2020,Total population,All ages,8.7,(7.8–9.6),,
Madera,2019–2020,Total population,All ages,13.7,(8.6–18.8),,
Marin,2019–2020,Total population,All ages,10.7,(8.1–13.4),,
Mariposa,2019–2020,Total population,All ages,6.9,(4.1–9.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Mendocino,2019–2020,Total population,All ages,9.8,(5.6–14.1),,
Merced,2019–2020,Total population,All ages,14.7,(9.1–20.3),,
Modoc,2019–2020,Total population,All ages,8,(5.5–10.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Mono,2019–2020,Total population,All ages,6.9,(4.1–9.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Monterey,2019–2020,Total population,All ages,8.3,(5.4–11.2),,
Napa,2019–2020,Total population,All ages,14.1,(4.7–23.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Nevada,2019–2020,Total population,All ages,6,(4.2–7.9),,
Orange,2019–2020,Total population,All ages,7.9,(6.6–9.2),,
Placer,2019–2020,Total population,All ages,10,(6.7–13.3),,
Plumas,2019–2020,Total population,All ages,8,(5.5–10.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Riverside,2019–2020,Total population,All ages,7.3,(6.0–8.7),,
Sacramento,2019–2020,Total population,All ages,9.9,(7.5–12.2),,
San Benito,2019–2020,Total population,All ages,10.9,(3.3–18.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Bernardino,2019–2020,Total population,All ages,6.7,(5.1–8.3),,
San Diego,2019–2020,Total population,All ages,7.2,(6.2–8.3),,
San Francisco,2019–2020,Total population,All ages,8.1,(5.6–10.6),,
San Joaquin,2019–2020,Total population,All ages,9.2,(6.3–12.2),,
San Luis Obispo,2019–2020,Total population,All ages,5.7,(3.3–8.0),,
San Mateo,2019–2020,Total population,All ages,11,(8.0–14.0),,
Santa Barbara,2019–2020,Total population,All ages,4.3,(2.1–6.5),,
Santa Clara,2019–2020,Total population,All ages,7.5,(6.0–9.1),,
Santa Cruz,2019–2020,Total population,All ages,7.4,(4.1–10.8),,
Shasta,2019–2020,Total population,All ages,14.4,(8.5–20.3),,
Sierra,2019–2020,Total population,All ages,8,(5.5–10.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Siskiyou,2019–2020,Total population,All ages,8,(5.5–10.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Solano,2019–2020,Total population,All ages,14.8,(9.2–20.4),,
Sonoma,2019–2020,Total population,All ages,11.9,(8.3–15.4),,
Stanislaus,2019–2020,Total population,All ages,10.9,(7.8–14.1),,
Sutter,2019–2020,Total population,All ages,9,(5.7–12.2),,
Tehama,2019–2020,Total population,All ages,11.5,(7.8–15.2),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Trinity,2019–2020,Total population,All ages,8,(5.5–10.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Tulare,2019–2020,Total population,All ages,15.5,(12.3–18.6),,
Tuolumne,2019–2020,Total population,All ages,6.9,(4.1–9.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Ventura,2019–2020,Total population,All ages,7,(5.1–8.8),,
Yolo,2019–2020,Total population,All ages,15.5,(8.3–22.6),,
Yuba,2019–2020,Total population,All ages,11.4,(7.7–15.2),,
California,2019–2020,Child vs. adult,0–17 years,7.4,(6.6–8.2),,
Alameda,2019–2020,Child vs. adult,0–17 years,6,(2.3–9.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Alpine,2019–2020,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Amador,2019–2020,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Butte,2019–2020,Child vs. adult,0–17 years,28.6,(13.1–44.0),,
Calaveras,2019–2020,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Colusa,2019–2020,Child vs. adult,0–17 years,10.8,(2.2–19.5),"Colusa, Glenn, and Tehama counties combined combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Contra Costa,2019–2020,Child vs. adult,0–17 years,4.2,(0.2–8.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Del Norte,2019–2020,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
El Dorado,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Fresno,2019–2020,Child vs. adult,0–17 years,10.4,(4.5–16.4),,
Glenn,2019–2020,Child vs. adult,0–17 years,10.8,(2.2–19.5),"Colusa, Glenn, and Tehama counties combined combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Humboldt,2019–2020,Child vs. adult,0–17 years,10,(0.9–19.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Imperial,2019–2020,Child vs. adult,0–17 years,7.5,(0.3–14.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Inyo,2019–2020,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Kern,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Kings,2019–2020,Child vs. adult,0–17 years,14.7,(6.3–23.1),,
Lake,2019–2020,Child vs. adult,0–17 years,8.9,(1.6–16.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Lassen,2019–2020,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Los Angeles,2019–2020,Child vs. adult,0–17 years,8.3,(6.2–10.4),,
Madera,2019–2020,Child vs. adult,0–17 years,12.3,(0.3–24.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Marin,2019–2020,Child vs. adult,0–17 years,11.4,(4.4–18.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mariposa,2019–2020,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Mendocino,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Merced,2019–2020,Child vs. adult,0–17 years,9.8,(0.2–19.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Modoc,2019–2020,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Mono,2019–2020,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Monterey,2019–2020,Child vs. adult,0–17 years,6,(2.3–9.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Napa,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Nevada,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Orange,2019–2020,Child vs. adult,0–17 years,8.4,(5.6–11.2),,
Placer,2019–2020,Child vs. adult,0–17 years,6.8,(0.3–13.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Plumas,2019–2020,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Riverside,2019–2020,Child vs. adult,0–17 years,7.1,(3.4–10.8),,
Sacramento,2019–2020,Child vs. adult,0–17 years,7.6,(3.3–11.9),,
San Benito,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
San Bernardino,2019–2020,Child vs. adult,0–17 years,5.5,(1.4–9.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Diego,2019–2020,Child vs. adult,0–17 years,5.9,(3.8–8.0),,
San Francisco,2019–2020,Child vs. adult,0–17 years,8.4,(4.6–12.2),,
San Joaquin,2019–2020,Child vs. adult,0–17 years,10.6,(3.4–17.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Luis Obispo,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
San Mateo,2019–2020,Child vs. adult,0–17 years,8.9,(2.1–15.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Barbara,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Santa Clara,2019–2020,Child vs. adult,0–17 years,6.2,(1.9–10.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Cruz,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Shasta,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Sierra,2019–2020,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Siskiyou,2019–2020,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Solano,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Sonoma,2019–2020,Child vs. adult,0–17 years,6,(0.2–11.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Stanislaus,2019–2020,Child vs. adult,0–17 years,14.9,(6.7–23.0),,
Sutter,2019–2020,Child vs. adult,0–17 years,4,(0.7–7.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tehama,2019–2020,Child vs. adult,0–17 years,10.8,(2.2–19.5),"Colusa, Glenn, and Tehama counties combined combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Trinity,2019–2020,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Tulare,2019–2020,Child vs. adult,0–17 years,9.1,(3.5–14.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tuolumne,2019–2020,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Ventura,2019–2020,Child vs. adult,0–17 years,6.4,(2.8–10.1),,
Yolo,2019–2020,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Yuba,2019–2020,Child vs. adult,0–17 years,8.7,(2.2–15.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
California,2019–2020,Child vs. adult,18+ years,9.1,(8.7–9.5),,
Alameda,2019–2020,Child vs. adult,18+ years,7.9,(6.0–9.9),,
Alpine,2019–2020,Child vs. adult,18+ years,7.9,(4.6–11.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Amador,2019–2020,Child vs. adult,18+ years,7.9,(4.6–11.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Butte,2019–2020,Child vs. adult,18+ years,9.5,(6.4–12.5),,
Calaveras,2019–2020,Child vs. adult,18+ years,7.9,(4.6–11.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Colusa,2019–2020,Child vs. adult,18+ years,11.7,(8.1–15.4),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Contra Costa,2019–2020,Child vs. adult,18+ years,10,(7.0–13.0),,
Del Norte,2019–2020,Child vs. adult,18+ years,9.7,(6.6–12.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
El Dorado,2019–2020,Child vs. adult,18+ years,9.6,(6.1–13.1),,
Fresno,2019–2020,Child vs. adult,18+ years,13.7,(10.4–17.0),,
Glenn,2019–2020,Child vs. adult,18+ years,11.7,(8.1–15.4),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Humboldt,2019–2020,Child vs. adult,18+ years,10.4,(7.5–13.3),,
Imperial,2019–2020,Child vs. adult,18+ years,11.9,(8.3–15.5),,
Inyo,2019–2020,Child vs. adult,18+ years,7.9,(4.6–11.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Kern,2019–2020,Child vs. adult,18+ years,11.6,(8.8–14.4),,
Kings,2019–2020,Child vs. adult,18+ years,11.9,(7.6–16.3),,
Lake,2019–2020,Child vs. adult,18+ years,12.6,(7.6–17.6),,
Lassen,2019–2020,Child vs. adult,18+ years,9.7,(6.6–12.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Los Angeles,2019–2020,Child vs. adult,18+ years,8.8,(7.9–9.7),,
Madera,2019–2020,Child vs. adult,18+ years,14.2,(9.4–19.1),,
Marin,2019–2020,Child vs. adult,18+ years,10.5,(7.5–13.5),,
Mariposa,2019–2020,Child vs. adult,18+ years,7.9,(4.6–11.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Mendocino,2019–2020,Child vs. adult,18+ years,11.4,(6.4–16.5),,
Merced,2019–2020,Child vs. adult,18+ years,16.6,(9.8–23.4),,
Modoc,2019–2020,Child vs. adult,18+ years,9.7,(6.6–12.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Mono,2019–2020,Child vs. adult,18+ years,7.9,(4.6–11.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Monterey,2019–2020,Child vs. adult,18+ years,9.2,(5.4–12.9),,
Napa,2019–2020,Child vs. adult,18+ years,10.4,(5.2–15.6),,
Nevada,2019–2020,Child vs. adult,18+ years,7.5,(5.2–9.8),,
Orange,2019–2020,Child vs. adult,18+ years,7.8,(6.2–9.3),,
Placer,2019–2020,Child vs. adult,18+ years,10.9,(7.2–14.5),,
Plumas,2019–2020,Child vs. adult,18+ years,9.7,(6.6–12.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Riverside,2019–2020,Child vs. adult,18+ years,7.4,(6.0–8.8),,
Sacramento,2019–2020,Child vs. adult,18+ years,10.6,(7.7–13.5),,
San Benito,2019–2020,Child vs. adult,18+ years,10.9,(6.0–15.8),,
San Bernardino,2019–2020,Child vs. adult,18+ years,7.2,(5.6–8.8),,
San Diego,2019–2020,Child vs. adult,18+ years,7.6,(6.5–8.8),,
San Francisco,2019–2020,Child vs. adult,18+ years,8,(5.2–10.8),,
San Joaquin,2019–2020,Child vs. adult,18+ years,8.8,(5.8–11.8),,
San Luis Obispo,2019–2020,Child vs. adult,18+ years,7.5,(4.3–10.7),,
San Mateo,2019–2020,Child vs. adult,18+ years,11.6,(8.4–14.8),,
Santa Barbara,2019–2020,Child vs. adult,18+ years,5.2,(2.4–8.0),,
Santa Clara,2019–2020,Child vs. adult,18+ years,7.9,(6.4–9.4),,
Santa Cruz,2019–2020,Child vs. adult,18+ years,8.5,(4.6–12.5),,
Shasta,2019–2020,Child vs. adult,18+ years,12.8,(9.6–16.0),,
Sierra,2019–2020,Child vs. adult,18+ years,9.7,(6.6–12.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Siskiyou,2019–2020,Child vs. adult,18+ years,9.7,(6.6–12.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Solano,2019–2020,Child vs. adult,18+ years,19.2,(11.9–26.5),,
Sonoma,2019–2020,Child vs. adult,18+ years,13.2,(9.2–17.1),,
Stanislaus,2019–2020,Child vs. adult,18+ years,9.6,(6.5–12.6),,
Sutter,2019–2020,Child vs. adult,18+ years,10.6,(6.4–14.8),,
Tehama,2019–2020,Child vs. adult,18+ years,11.7,(8.1–15.4),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Trinity,2019–2020,Child vs. adult,18+ years,9.7,(6.6–12.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Tulare,2019–2020,Child vs. adult,18+ years,16.5,(12.9–20.1),,
Tuolumne,2019–2020,Child vs. adult,18+ years,7.9,(4.6–11.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Ventura,2019–2020,Child vs. adult,18+ years,7.1,(4.9–9.3),,
Yolo,2019–2020,Child vs. adult,18+ years,18.2,(9.4–27.0),,
Yuba,2019–2020,Child vs. adult,18+ years,12.5,(8.2–16.7),,
California,2019–2020,Age groups,0–4 years,3.3,(2.2–4.3),,
Alameda,2019–2020,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Alpine,2019–2020,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Amador,2019–2020,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Butte,2019–2020,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Calaveras,2019–2020,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Colusa,2019–2020,Age groups,0–4 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Contra Costa,2019–2020,Age groups,0–4 years,4.7,(0.3–9.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Del Norte,2019–2020,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
El Dorado,2019–2020,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Fresno,2019–2020,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Glenn,2019–2020,Age groups,0–4 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Humboldt,2019–2020,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Imperial,2019–2020,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Inyo,2019–2020,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Kern,2019–2020,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
